 Alexander    | YYNY
 Ayotte       | YYNY
 Baldwin      | YYYN
 Barrasso     | YNNY
 Baucus       | YYNY
 Begich       | YYYY
 Bennet       | YYNN
 Blumenthal   | YYYN
 Blunt        | YNNY
 Boozman      | YNNY
 Boxer        | YYYN
 Brown        | YYYN
 Burr         | YNNY
 Cantwell     | YYYN
 Cardin       | YYNN
 Carper       | YYNN
 Casey        | YYYN
 Chambliss    | YNNY
 Chiesa       | YYNN
 Coats        | YNNY
 Coburn       | NNNY
 Cochran      | YNNY
 Collins      | YYNY
 Coons        | YYNN
 Corker       | YYNY
 Cornyn       | YNNY
 Cowan        | YYYN
 Crapo        | NNNY
 Cruz         | NNNY
 Donnelly     | YYNY
 Durbin       | YYNN
 Enzi         | NNNY
 Feinstein    | YYNN
 Fischer      | YNNY
 Flake        | YYNY
 Franken      | YYNN
 Gillibrand   | YYYN
 Graham       | YYNY
 Grassley     | NNNY
 Hagan        | YYNY
 Harkin       | YYNN
 Hatch        | YYNY
 Heinrich     | YYNY
 Heitkamp     | YYNY
 Heller       | NYNY
 Hirono       | YYYN
 Hoeven       | YYNY
 Inhofe       | NNNY
 Isakson      | YNNY
 Johanns      | YNNY
 Johnson(D)      | YYNN
 Kaine        | YYNN
 King         | YYYY
 Kirk         | YYNN
 Klobuchar    | YYNN
 Landrieu     | YYNY
 Leahy        | YYYN
 Lee          | NNYY
 Levin        | YYYN
 Manchin      | YYNY
 McCain       | YYNY
 McCaskill    | YYNN
 McConnell    | YNNY
 Menendez     | YYYN
 Merkley      | YYYN
 Mikulski     | YYNN
 Moran        | YNNY
 Murkowski    | YYNY
 Murphy       | YYYN
 Murray       | YYYN
 Nelson       | YYNN
 Paul         | NNNY
 Portman      | YNNY
 Pryor        | YYNY
 Reed         | YYYN
 Reid         | YYYN
 Risch        | NNNY
 Roberts      | NNNY
 Rockefeller  | YYNN
 Rubio        | NYNY
 Sanders      | YYYN
 Schatz       | YYYN
 Schumer      | YYYN
 Scott        | NNNY
 Sessions     | NNNY
 Shaheen      | YYNY
 Shelby       | NNNY
 Stabenow     | YYNN
 Tester       | YYNY
 Thune        | YNNY
 Toomey       | NNNY
 Udall(CO)        | YYYN
 Vitter       | NNNY
 Warner       | YYNN
 Warren       | YYYN
 Whitehouse   | YYNN
 Wicker       | YNNY
 Wyden        | YYYN
